latin,myc
Pinus_sylvestris,EM
Betula_pendula,EM
Phleum_alpinum,AM
Vaccinium_myrtillus,EM
Vaccinium_vitis-idaea,EM
Populus_tremula,EM
Corylus_avellana,EM
Salix_caprea,EM
Achillea_millefolium,AM
Persicaria_vivipara,EM
Anthoxanthum_odoratum,AM
Calluna_vulgaris,EM
Trifolium_pratense,AM
Festuca_rubra,AM
Plantago_lanceolata,AM
Betula_pubescens,EM
Dryas_octopetala,EM
Festuca_ovina,AM
Dactylis_glomerata,AM
Epilobium_angustifolium,AM
Juniperus_communis,AM
Oxalis_acetosella,AM
Vaccinium_uliginosum,EM
Alnus_glutinosa,EM
Maianthemum_bifolium,AM
Pinus_massoniana,EM
Sorbus_aucuparia,AM
Ranunculus_acris,AM
Deschampsia_cespitosa,AM
Eucalyptus_grandis,AM
Tilia_cordata,EM
Phragmites_australis,AM
Poa_nemoralis,AM
Acer_pseudoplatanus,AM
Cynodon_dactylon,AM
Holcus_lanatus,AM
Plantago_major,AM
Geum_rivale,AM
Poa_alpina,AM
Prunella_vulgaris,AM
Agrostis_capillaris,AM
Geranium_sylvaticum,AM
Lysimachia_europaea,AM
Paris_quadrifolia,AM
Poa_annua,AM
Poa_pratensis,AM
Pyrola_rotundifolia,EM
Aegopodium_podagraria,AM
Empetrum_nigrum,EM
Agrostis_stolonifera,AM
Caltha_palustris,AM
Equisetum_sylvaticum,NM
Festuca_valesiaca,AM
Potentilla_crantzii,AM
Sibbaldia_procumbens,AM
Elymus_repens,AM
Erigeron_canadensis,AM
Euphorbia_hirta,AM
Fraxinus_excelsior,AM
Lathyrus_pratensis,AM
Luzula_pilosa,NM
Pteridium_aquilinum,AM
Chenopodium_album,NM
Leucanthemum_vulgare,AM
Lotus_corniculatus,AM
Veronica_chamaedrys,AM
Bromus_tectorum,AM
Gymnocarpium_dryopteris,AM
Phleum_pratense,AM
Rosa_,AM
Triticum_aestivum,AM
Filipendula_,AM
Ledum_palustre,EM
Pinus_pinaster,EM
Robinia_pseudoacacia,AM
Rubus_idaeus,AM
Rubus_saxatilis,AM
Urtica_dioica,NM
Veronica_gentianoides,AM
Acacia_auriculiformis,AM
Alnus_incana,EM
Campanula_rotundifolia,AM
Fragaria_vesca,AM
Potentilla_erecta,AM
Solanum_americanum,AM
Sorghum_bicolor,AM
Taraxacum_campylodes,AM
Andromeda_polifolia,EM
Castanea_sativa,EM
Elymus_caninus,AM
Melia_azedarach,AM
Syzygium_cumini,AM
Taxus_baccata,AM
Casuarina_equisetifolia,AM
Cyperus_rotundus,AM
Dryopteris_filix-mas,AM
Lythrum_salicaria,AM
Oxalis_corniculata,AM
Persicaria_bistorta,NM
Stellaria_holostea,NM
Tussilago_farfara,AM
Aegiceras_corniculatum,AM
Alchemilla_sericata,AM
Filipendula_ulmaria,AM
Geranium_robertianum,AM
Hordeum_vulgare,AM
Ipomoea_pes-caprae,AM
Mentha_aquatica,AM
Prunus_avium,AM
Themeda_triandra,AM
Viola_canina,AM
Arbutus_unedo,EM
Brachypodium_pinnatum,AM
Excoecaria_agallocha,AM
Melampyrum_pratense,NM
Myosotis_alpestris,AM
Orthilia_secunda,EM
Oryza_sativa,AM
Plantago_atrata,AM
Plantago_maritima,AM
Poa_compressa,AM
Populus_nigra,EM
Pseudotsuga_menziesii,EM
Salix_reticulata,EM
Tectona_grandis,AM
Acanthus_ilicifolius,AM
Arctostaphylos_uva-ursi,EM
Asarum_europaeum,AM
Bromus_inermis,AM
Casuarina_cunninghamiana,AM
Frangula_alnus,AM
Hieracium_umbellatum,AM
Melica_nutans,AM
Milium_effusum,AM
Parnassia_palustris,AM
Phalaris_arundinacea,AM
Salix_repens,EM
Tephrosia_purpurea,AM
Achyranthes_aspera,AM
Brassica_rapa,NM
Equisetum_arvense,NM
Eucalyptus_globulus,EM
Galium_mollugo,AM
Glyceria_notata,AM
Goodyera_repens,ORC
Hydrocotyle_vulgaris,AM
Hypericum_perforatum,AM
Larix_kaempferi,EM
Lathyrus_,AM
Mercurialis_perennis,AM
Myosotis_scorpioides,AM
Populus_alba,EM
Ranunculus_repens,AM
Rumex_acetosella,NM
Salix_glauca,EM
Tamarindus_indica,AM
Valeriana_officinalis,AM
Acacia_holosericea,AM
Agrostis_canina,AM
Ammophila_arenaria,AM
Anthriscus_sylvestris,AM
Avena_sativa,AM
Calotropis_procera,AM
Carex_globularis,NM
Carex_pallescens,NM
